Recipe_ID,Strategy,Predicted_Viability,Ingredient_String
1,Hybrid_HighVia_1,0.714520180501873,10.30% total_peg + 6.14% eg + 4.99% dmem + 3.42% creatine + 2.91% other_additives + 2.52% other_sugars + 2.40% other_polymers_proteins + 2.37% fbs + 1.53% dmso + 1.47% glycerol + 1.40% trehalose + 1.39% cooh-pll + 1.28% other_cpas + 0.85% sucrose + 0.77% mannitol + 0.40% fs + 0.20% huxuc-90011
2,Hybrid_HighVia_2,0.7471626507265099,9.55% other_cpas + 7.11% total_peg + 5.18% eg + 3.73% cooh-pll + 3.18% trehalose + 2.67% other_sugars + 2.57% glycerol + 2.48% other_polymers_proteins + 2.06% sucrose + 1.96% huxuc-90011 + 1.82% mannitol + 1.61% other_additives + 1.24% fs + 1.24% fbs + 1.14% creatine + 0.92% dmso + 0.13% dmem
3,Hybrid_HighVia_3,0.7854746962442417,7.81% dmem + 7.78% eg + 5.29% cooh-pll + 5.03% total_peg + 4.15% sucrose + 3.03% creatine + 2.36% huxuc-90011 + 2.34% fbs + 1.30% other_cpas + 1.13% trehalose + 1.12% dmso + 1.06% fs + 0.99% glycerol + 0.45% mannitol + 0.31% other_sugars + 0.24% other_additives
4,Hybrid_HighVia_4,0.7421900771598972,5.23% trehalose + 5.21% mannitol + 5.10% other_sugars + 5.08% huxuc-90011 + 4.73% creatine + 3.54% fbs + 3.27% dmem + 2.34% other_polymers_proteins + 2.26% glycerol + 2.11% dmso + 1.82% cooh-pll + 1.75% other_cpas + 1.53% total_peg + 1.52% other_additives + 0.80% sucrose + 0.40% eg + 0.04% fs
5,Hybrid_HighVia_5,0.7815461032962822,6.96% other_cpas + 5.45% eg + 5.03% creatine + 4.54% dmem + 3.75% other_additives + 3.45% other_polymers_proteins + 2.88% sucrose + 1.92% cooh-pll + 1.91% dmso + 1.63% fs + 1.07% other_sugars + 0.59% huxuc-90011 + 0.55% fbs + 0.26% glycerol + 0.23% total_peg + 0.04% mannitol + 0.02% trehalose
6,Hybrid_HighVia_6,0.7331526933932224,7.34% fbs + 6.72% other_additives + 6.55% cooh-pll + 5.67% total_peg + 5.43% fs + 4.79% dmem + 3.04% huxuc-90011 + 2.01% other_cpas + 1.39% creatine + 1.34% dmso + 1.26% mannitol + 1.14% other_sugars + 0.84% glycerol + 0.67% sucrose + 0.40% trehalose + 0.15% other_polymers_proteins + 0.05% eg
7,Hybrid_HighVia_7,0.7720891875930895,9.81% dmem + 9.63% creatine + 7.16% eg + 4.41% total_peg + 3.64% other_additives + 2.39% other_polymers_proteins + 2.38% dmso + 2.02% mannitol + 1.42% other_cpas + 1.35% other_sugars + 1.31% trehalose + 0.86% fs + 0.81% sucrose + 0.74% cooh-pll + 0.40% fbs + 0.32% glycerol + 0.19% huxuc-90011
8,Hybrid_HighVia_8,0.7833722397770931,8.83% sucrose + 5.99% trehalose + 5.57% eg + 5.25% other_sugars + 4.06% cooh-pll + 3.95% other_polymers_proteins + 3.49% other_additives + 3.03% huxuc-90011 + 1.98% dmem + 1.80% fs + 1.69% total_peg + 1.26% other_cpas + 1.05% dmso + 0.51% creatine + 0.29% mannitol + 0.15% glycerol + 0.04% fbs
