all_ingredient,"1,2-propanediol(%)",100% hydrolysed pva(mg/ml),80% hydrolysed pva(mg/ml),acetamide(M),antibiotic(%),autologous plasma(%),betaine(%),bsa(%),cooh-pll(%),creatine(mM),dextran(%),dextran-40(%),dmso(%),ectoin(%),eg(%),emea-fbs(%),ethyleneglycol(%),fbs(%),ficoll 70(%),fs(%),glucose(mM),glycerol(mM),ha(%),has(%),hes(%),hes450(%),hmw-ha(%),hs(%),hsa(%),maltose(mol/L),mannitol(mM),mc(%),p1(mg/ml),p2(mg/ml),p3(mg/ml),p4(mg/ml),peg 1.5k(%),peg 1000(mg/ml),peg 10k(%),peg 1k(%),peg 20k(%),peg 400(%),peg 5000(mg/ml),peg 5k(%),peg 600(%),peg(%),pentaisomaltose(%),pl(%),polyampholyte(mg/ml),proh(%),proline(%),propylene glycol(M),pvp(%),raffinose(mM),rock inhibitor(µM),s1p(µM),sericin(%),storage protein 2(mg/ml),sucrose(mM),taurine(mM),trehalose(mM),viability,recovery,doubling time,cooling rate
10% DMSO + 0.1 mol/L maltose + 1% sericin,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.95,,,slow_freeze
80% HS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825,,,slow_freeze
80% FCS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841,,,slow_freeze
2% DMSO,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838,,,slow_freeze
4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806,,,slow_freeze
6% DMSO,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,slow_freeze
8% DMSO,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.856,,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879,,,slow_freeze
1% MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,,,slow_freeze
1% MC + 10% HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,slow_freeze
1% MC + 10% FCS,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,slow_freeze
1% MC + 10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798,,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.827,,,slow_freeze
10% DMSO + 10% FBS,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838,,,slow_freeze
10% DMSO + 90% FBS,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.902,,,slow_freeze
7.5% DMSO + 2.5% PEG,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,0.72,,,slow_freeze
7.5% DMSO + 2.5% PEG + 2% BSA,,,,,,,,2.0,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,0.829,,,slow_freeze
5% DMSO + 5% PEG,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,0.7,,,slow_freeze
5% DMSO + 5% PEG + 2% BSA,,,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,0.8,,,slow_freeze
5% DMSO + 2% PEG + 3% trehalose,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.56,,,slow_freeze
5% DMSO + 2% PEG + 3% trehalose + 2% BSA,,,,,,,,2.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.65,,,slow_freeze
2.5% DMSO + 7.5% PEG,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,0.32,,,slow_freeze
2.5% DMSO + 7.5% PEG + 2% BSA,,,,,,,,2.0,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,0.38,,,slow_freeze
"10% 1,2-propanediol + 2% BSA",10.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,slow_freeze
"7.5% 1,2-propanediol + 2.5% PEG + 2% BSA",7.5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,0.73,,,multi_freeze
150 mM Sucrose + 125 mM Mannitol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.48,,multi_freeze
150 mM Glucose + 125 mM Mannitol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,150.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,multi_freeze
150 mM Sucrose + 2.5% Glycerol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.62,,multi_freeze
150 mM Glucose + 2.5% Glycerol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,multi_freeze
150 mM Sucrose + 342 mM Glycerol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,0.6,,,multi_freeze
150 mM Glucose + 342 mM Glycerol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,150.0,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,multi_freeze
150 mM Sucrose + 684 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,0.7,0.82,,multi_freeze
300 mM Sucrose + 684 mM Glycerol + 12.5 mM Creatine,,,,,,,,,,12.5,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.71,,multi_freeze
75 mM Sucrose + 63 mM Mannitol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,0.47,,multi_freeze
225 mM Sucrose + 188 mM Mannitol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.43,,multi_freeze
225 mM Sucrose + 125 mM Mannitol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.29,,multi_freeze
0 mM Sucrose + 63 mM Mannitol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,multi_freeze
75 mM Sucrose + 125 mM Mannitol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,0.48,,multi_freeze
30 mM Sucrose + 25 mM Mannitol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.31,,multi_freeze
225 mM Sucrose + 188 mM Mannitol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.46,,multi_freeze
150 mM Sucrose + 63 mM Mannitol + 6 mM Creatine,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.41,,multi_freeze
0 mM Sucrose + 25 mM Mannitol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,multi_freeze
75 mM Sucrose + 63 mM Mannitol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,0.38,,multi_freeze
30 mM Sucrose + 0 mM Mannitol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.29,,multi_freeze
50 mM Sucrose + 63 mM Mannitol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,0.37,,multi_freeze
150 mM Sucrose + 63 mM Mannitol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.22,,multi_freeze
30 mM Sucrose + 25 mM Mannitol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.33,,multi_freeze
300 mM Sucrose + 250 mM Mannitol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.09,,multi_freeze
150 mM Sucrose + 188 mM Mannitol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.49,,multi_freeze
30 mM Sucrose + 25 mM Mannitol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.2,,multi_freeze
150 mM Sucrose + 25 mM Mannitol + 6 mM Creatine,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.33,,multi_freeze
0 mM Sucrose + 125 mM Mannitol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,multi_freeze
150 mM Sucrose + 63 mM Mannitol + 6 mM Creatine,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.34,,multi_freeze
30 mM Sucrose + 63 mM Mannitol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.47,,multi_freeze
30 mM Sucrose + 125 mM Mannitol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.31,,multi_freeze
300 mM Sucrose + 250 mM Mannitol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.15,,multi_freeze
150 mM Sucrose + 188 mM Mannitol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.26,,multi_freeze
225 mM Sucrose + 250 mM Mannitol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.19,,multi_freeze
225 mM Sucrose + 684 mM Glycerol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.94,,multi_freeze
300 mM Sucrose + 342 mM Glycerol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.78,,multi_freeze
300 mM Sucrose + 342 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,1.02,,multi_freeze
300 mM Sucrose + 0 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.78,,multi_freeze
300 mM Sucrose + 171 mM Glycerol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.59,,multi_freeze
0 mM Sucrose + 684 mM Glycerol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,multi_freeze
75 mM Sucrose + 68 mM Glycerol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,0.53,,multi_freeze
30 mM Sucrose + 171 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.36,,multi_freeze
50 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,0.38,,multi_freeze
75 mM Sucrose + 684 mM Glycerol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,0.67,,multi_freeze
0 mM Sucrose + 684 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,multi_freeze
150 mM Sucrose + 513 mM Glycerol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.68,,multi_freeze
30 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.31,,multi_freeze
225 mM Sucrose + 513 mM Glycerol + 6 mM Creatine,,,,,,,,,,6.0,,,,,,,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.44,,multi_freeze
75 mM Sucrose + 684 mM Glycerol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,0.46,,multi_freeze
0 mM Sucrose + 754 mM Glycerol + 24 mM Creatine,,,,,,,,,,24.0,,,,,,,,,,,,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,multi_freeze
50 mM Sucrose + 513 mM Glycerol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,1.1,,multi_freeze
225 mM Sucrose + 342 mM Glycerol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,,,,0.55,,multi_freeze
300 mM Sucrose + 513 mM Glycerol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,0.54,,multi_freeze
150 mM Sucrose + 684 mM Glycerol + 3 mM Creatine,,,,,,,,,,3.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.43,,multi_freeze
0 mM Sucrose + 171 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,multi_freeze
150 mM Sucrose + 684 mM Glycerol + 0 mM Creatine,,,,,,,,,,,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.54,,multi_freeze
0 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,multi_freeze
150 mM Sucrose + 342 mM Glycerol + 6 mM Creatine,,,,,,,,,,6.0,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.3,,multi_freeze
30 mM Sucrose + 684 mM Glycerol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.45,,multi_freeze
0 mM Sucrose + 68 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,multi_freeze
30 mM Sucrose + 171 mM Glycerol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.39,,multi_freeze
150 mM Sucrose + 68 mM Glycerol + 13 mM Creatine,,,,,,,,,,13.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,0.68,,multi_freeze
30 mM Sucrose + 684 mM Glycerol + 19 mM Creatine,,,,,,,,,,19.0,,,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.43,,multi_freeze
30 mM Sucrose + 171 mM Glycerol + 25 mM Creatine,,,,,,,,,,25.0,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.41,,multi_freeze
10 wt% PEG 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0.05,,slow_freeze
10 wt% PEG 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.05,,slow_freeze
10 wt% PEG 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,0.35,,slow_freeze
10 wt% PEG 1.5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,slow_freeze
10 wt% PEG 5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,0.55,,slow_freeze
10 wt% PEG 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,0.28,,slow_freeze
10 wt% PEG 20K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,0.22,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.7,,slow_freeze
10 wt% PEG 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0.5,,slow_freeze
10 wt% PEG 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.5,,slow_freeze
10 wt% PEG 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,0.3,,slow_freeze
10 wt% PEG 1.5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,slow_freeze
10 wt% PEG 5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,0.1,,slow_freeze
10 wt% PEG 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,slow_freeze
10 wt% PEG 20K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,0.03,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,slow_freeze
10 wt% PEG 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0.2,,slow_freeze
10 wt% PEG 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,slow_freeze
10 wt% PEG 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,0.08,,slow_freeze
10 wt% PEG 1.5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,slow_freeze
10 wt% PEG 5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,0.05,,slow_freeze
10 wt% PEG 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,0.03,,slow_freeze
10 wt% PEG 20K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,0.02,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,slow_freeze
10% DMSO + 2% FBS,,,,,,,,,,,,,10.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,65.0,slow_freeze
5% DMSO + 2% FBS,,,,,,,,,,,,,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,slow_freeze
3% DMSO + 2% FBS,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,130.0,slow_freeze
5% DMSO + 0.1% HMW-HA + 2% FBS,,,,,,,,,,,,,5.0,,,,,2.0,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,slow_freeze
5% DMSO + 0.2% HMW-HA + 2% FBS,,,,,,,,,,,,,5.0,,,,,2.0,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,slow_freeze
3% DMSO + 0.1% HMW-HA + 2% FBS,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,60.0,slow_freeze
0.1% methylcellulose + 1% proline + 1% ectoin,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.68,0.24,,slow_freeze
0.1% methylcellulose + 1% proline + 1% ectoin,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.76,0.64,,slow_freeze
0.1% methylcellulose + 1% proline + 1% ectoin,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.66,0.47,,slow_freeze
0.1% methylcellulose + 1% proline + 10% ectoin,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.62,0.52,,slow_freeze
0.1% methylcellulose + 1% proline + 10% ectoin,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.81,0.78,,slow_freeze
0.1% methylcellulose + 1% proline + 10% ectoin,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.66,0.81,,slow_freeze
0.1% methylcellulose + 5% proline + 5% ectoin,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,0.65,0.38,,slow_freeze
0.1% methylcellulose + 5% proline + 5% ectoin,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,0.86,0.57,,slow_freeze
0.1% methylcellulose + 5% proline + 5% ectoin,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,0.84,0.64,,slow_freeze
0.1% methylcellulose + 10% proline + 1% ectoin,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.58,0.19,,slow_freeze
0.1% methylcellulose + 10% proline + 1% ectoin,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.67,0.27,,slow_freeze
